"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Cote d'Ivoire","CIV","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9200.537109375","8859.091796875","8544.5810546875","8285.71875","8577.9736328125","8981.947265625","9056.484375","9251.240234375","9139.443359375","8711.806640625","8565.3798828125","8273.4130859375","8023.3359375","7986.8779296875","7979.458984375","7934.43896484375","7901.71923828125","7921.248046875","7986.630859375","7945.59814453125","7392.4541015625","7986.60693359375","8480.537109375","8943.8837890625","9428.390625","9907.583984375","10406.1435546875",
"Cameroon","CMR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7533.3232421875","7063.1611328125","6289.90478515625","6208.27978515625","6179.43798828125","6546.77392578125","6646.2109375","6716.47802734375","6588.73583984375","6633.18994140625","6764.619140625","6675.6767578125","6705.45703125","6644.72705078125","6501.8330078125","6432.70703125","6360.67822265625","6332.64990234375","6245.837890625","6260.7548828125","6339.18408203125","6443.97412109375","6611.15283203125","6802.98193359375","7004.0517578125","7142.76416015625","7234.4560546875",
"Congo, Dem. Rep.","COD","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2993.2060546875","2575.30590820313","2139.95703125","1983.34399414063","1932.84594726563","1863.39196777344","1714.92797851563","1648.0400390625","1538.14196777344","1392.02905273438","1327.01293945313","1328.13195800781","1361.13903808594","1408.74096679688","1448.38500976563","1480.80200195313","1525.48303222656","1569.32495117188","1561.26293945313","1618.47302246094","1676.30700683594","1740.10705566406","1828.625","1930.26794433594","1992.36401367188","2001.77001953125","2015.71398925781",
"Congo, Rep.","COG","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16423.408203125","16292.0908203125","15570.1806640625","14189.845703125","13911.9609375","14086.537109375","13508.3896484375","13522.693359375","13083.5068359375","14078.279296875","13288.173828125","13667.53125","13498.875","13679.7978515625","14848.2275390625","14970.9033203125","14163.6171875","14393.8759765625","15607.8349609375","16196.857421875","16059.0849609375","15728.3466796875","15898.3388671875","16611.306640625","16684.291015625","16637.9453125","17051.775390625",
"Colombia","COL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24197.103515625","24592.2265625","24124.658203125","24402.4140625","24542.22265625","24689.8984375","24398.4453125","24176.33984375","23501.888671875","23561.74609375","21426.5","21182.197265625","20762.947265625","21928.0078125","22167.318359375","23860.4453125","25149.05078125","25354.359375","24598.177734375","24857.556640625","25711.662109375","25975.314453125","26677.40234375","27181.515625","27538.35546875","28015.419921875","28556.70703125",
"Comoros","COM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6098.81005859375","6439.3740234375","6396.7841796875","5834.73583984375","5860.998046875","5580.33984375","5624.4580078125","5499.23681640625","5418.22021484375","5801.05712890625","5749.6279296875","5693.2548828125","5617.69921875","5529.9208984375","5508.30517578125","5464.47900390625","5327.17578125","5174.72705078125","5104.705078125","5046.90087890625","5020.5732421875","5014.3740234375","5032.43505859375","4977.16796875","4897.4091796875","4867.841796875","4891.95703125",
"Cabo Verde","CPV","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5534.2880859375","5943.19921875","6244.5810546875","7179.3359375","7911.02099609375","8522.5068359375","9173.6005859375","10003.7080078125","10787.205078125","11920.0654296875","11721.2080078125","11862.166015625","11894.703125","12623.818359375","13041.2099609375","13604.3447265625","15177.81640625","15702.9716796875","15025.322265625","14802.5029296875","15026.2578125","14783.943359375","14542.8505859375","14577.734375","14483.4091796875","14707.44921875","15008.669921875",
"Costa Rica","CRI","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20359.1328125","21473.51953125","22124.619140625","22388.763671875","22475.947265625","22905.28125","22511.14453125","23029.728515625","24578.751953125","24695.345703125","23514.583984375","23796.642578125","24868.3828125","25714.484375","25790.25390625","27231.537109375","28033.328125","28587.369140625","28785.083984375","30445.53515625","31009.81640625","32267.490234375","32414.783203125","33083.40234375","33763.5625","34431.93359375","35222.18359375",
"Caribbean small states","CSS","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24922.1239346451","24794.9222287958","25332.2584866897","25312.3952622635","25741.1015813175","26236.0712877863","26867.3584461351","27183.4634063319","27950.542750152","28540.185754515","28651.6007142278","29631.585121366","30850.3379710091","31549.0694085546","31902.7083992611","33316.955631434","33755.1502321836","34150.3431215786","33412.0855522281","33537.8805257014","33481.208262563","33576.1075222714","33499.0709308022","33260.8328033086","32622.0477485737","31998.7002352785","32317.6382290975",
"Cuba","CUB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45753.21484375","53629.71484375","47974.62109375","48153.09765625","52253.4375","54841.62890625","49945.7109375","49943.94140625","52028.22265625","49231.5546875","48194.671875","48142.7421875","47865.06640625","48545.75390625","50005.6484375","50616.20703125","51484.6953125","52315.63671875","51171.328125","51123.453125","51973.96875","52419.375","51417.68359375","49377.83203125","48642.0625","47532.1796875","47191.57421875",
